TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
3346;2011;11;A; 114;150101; 4;s;01;   92;s;   36;-;    1;s;    0;-;   90;s;   82;s;    6;s;    2;s;    0;s;    0;s;    1;s;    0;s;    0;s;    1;s;   36;-;   35;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
3346;2011;11;A; 114;150101; 4;s;02;  309;s;  139;-;    4;s;    0;-;  303;s;  283;s;   19;s;    1;s;    0;s;    0;s;    3;s;    1;s;    1;s;    2;s;  138;-;  133;-;    5;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-
3346;2011;11;A; 114;150101; 4;s;03;  232;s;  164;-;    1;s;    1;-;  225;s;  207;s;   18;s;    0;s;    6;s;    0;s;    0;s;    1;s;    1;s;    0;s;  162;-;  153;-;    8;-;    1;-;    0;-;    0;-;    1;-;    0;-;    0;-;    1;-
3346;2011;11;A; 114;150101; 4;s;04;  154;s;  110;-;    1;s;    2;-;  151;s;  141;s;   10;s;    0;s;    0;s;    0;s;    0;s;    1;s;    1;s;    2;s;  108;-;  105;-;    3;-;    0;-;    0;-;    0;-;    2;-;    0;-;    0;-;    0;-
3346;2011;11;A; 114;150101; 4;s;05;   93;s;   77;-;    2;s;    1;-;   91;s;   84;s;    7;s;    0;s;    0;s;    0;s;    1;s;    1;s;    1;s;    0;s;   76;-;   68;-;    8;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
3346;2011;11;A; 114;150101; 4;s;06;   88;s;  125;-;    4;s;    1;-;   83;s;   76;s;    7;s;    0;s;    0;s;    0;s;    2;s;    2;s;    2;s;    1;s;  121;-;  115;-;    6;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    3;-
3346;2011;11;A; 114;150101; 4;s;07;   76;s;   58;-;    4;s;    0;-;   71;s;   67;s;    4;s;    0;s;    0;s;    2;s;    1;s;    1;s;    1;s;    1;s;   57;-;   56;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-
3346;2011;11;A; 114;150101; 4;s;08;   62;s;   30;-;    2;s;    2;-;   58;s;   54;s;    4;s;    0;s;    1;s;    0;s;    1;s;    1;s;    0;s;    1;s;   27;-;   25;-;    2;-;    0;-;    0;-;    0;-;    1;-;    1;-;    1;-;    1;-
3346;2011;11;A; 114;150101; 4;s;09;   71;s;   61;-;    7;s;    1;-;   62;s;   56;s;    6;s;    0;s;    0;s;    5;s;    1;s;    1;s;    1;s;    2;s;   60;-;   56;-;    3;-;    1;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-
3346;2011;11;A; 114;150101; 4;s;10;  107;s;   84;-;    7;s;    2;-;   99;s;   94;s;    4;s;    1;s;    0;s;    2;s;    4;s;    1;s;    1;s;    1;s;   81;-;   74;-;    7;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-;    1;-
